year,pct,ser_num,datestop,timestop,recstat,inout,trhsloc,perobs,crimsusp,perstop,typeofid,explnstp,othpers,arstmade,arstoffn,sumissue,sumoffen,compyear,comppct,offunif,officrid,frisked,searched,contrabn,adtlrept,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other,radio,ac_rept,ac_inves,rf_vcrim,rf_othsw,ac_proxm,rf_attir,cs_objcs,cs_descr,cs_casng,cs_lkout,rf_vcact,cs_cloth,cs_drgtr,ac_evasv,ac_assoc,cs_furtv,rf_rfcmp,ac_cgdir,rf_verbl,cs_vcrim,cs_bulge,cs_other,ac_incid,ac_time,rf_knowl,ac_stsnd,ac_other,sb_hdobj,sb_outln,sb_admis,sb_other,repcmd,revcmd,rf_furt,rf_bulg,offverb,offshld,forceuse,sex,race,dob,age,ht_feet,ht_inch,weight,haircolr,eyecolor,build,othfeatr,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,aptnum,city,state,zip,addrpct,sector,beat,post,xcoord,ycoord,dettypCM,lineCM,detailCM,lat1,lng1,lat2,lng2,full_addr1,full_addr2
2015,114,597,9222015,1350,1,O,P,20,FEL,5,P,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,114,114,N,N, , ,DS,M,W, ,27,5,7,160,BR,BR,T, ,L, , ,STREET,0,1 STREET,27 AVENUE,26 AVENUE, ,QUEENS, , ,114,P, , ,1002108,222307,CM,1,45,40.7756108,-73.9361401,40.7770457,-73.935385,"27th Ave & 1st St, Astoria, NY 11102, USA","26th Ave & 1st St, Astoria, NY 11102, USA"
2015,102,495,8082015,1940,1,O,P,0,BURGLARY,15,P,Y,Y,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,102,102,N,N, , , ,M,W, ,35,6,1,1,BK,BR,H, ,L, , ,RESIDENCE,0,102 STREET,101 AVENUE,97 AVENUE, ,QUEENS, , ,102,C, , ,1028374,189261,CM,1,14,40.6857502,-73.840779,40.6874305,-73.84158649999999,"101st Ave & 102nd St, Ozone Park, NY 11416, USA","97th Ave & 102nd St, Ozone Park, NY 11416, USA"
2015,102,494,8082015,1940,1,O,P,0,BURGLARY,15,P,Y,Y,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,102,102,N,N, , , ,M,W, ,48,6,0,175,BR,HA,M, ,L, , ,RESIDENTIAL,0,102 STREET,103 AVENUE,101 AVENUE, ,QUEENS, , ,102,C, , ,1028458,189039,CM,1,14,40.683751,-73.8397945,40.6857502,-73.840779,"103rd Ave & 102nd St, Ozone Park, NY 11417, USA","101st Ave & 102nd St, Ozone Park, NY 11416, USA"
2015,115,97,9032015,118, ,O,P,1,CPW,20,P,Y,N,Y,PL 265.01.02,N, ,0,0,Y, ,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,115,115,Y,N, , ,OT,M,Q, ,38,5,6,170,BK,BR,M, ,L, , ,STREET,0,105 STREET,32 AVENUE,ASTORIA BOULEVARD, ,QUEENS, , ,115,A, , ,1021850,216469,CM,1,20,40.759683,-73.864068,40.76104420000001,-73.8643017,"32nd Ave & 105th St, East Elmhurst, NY 11369, USA","Astoria Blvd & 105th St, East Elmhurst, NY 11369, USA"
2015,102,496,8122015,2035,1,O,P,2,ROBBERY,20,V,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,102,102,Y,N, , ,SF,M,P, ,18,5,5,125,BK,BR,T, ,L, , ,RESIDENTIAL,0,107 STREET,JAMAICA AVENUE,86 AVENUE, ,QUEENS, , ,102,H, , ,1028289,193278,CM,1,85,40.6953591,-73.8405145,40.6976879,-73.8414888,"Jamaica Ave & 107th St, Richmond Hill, NY 11418, USA","107th St & 86th Ave, Richmond Hill, NY 11418, USA"
2015,115,65,8042015,710, ,O,P,1,BURGLARY,15,V,Y,N,Y,CPCS,N, ,0,0,Y, ,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,115,115,N,N, , , ,M,Q, ,32,5,7,175,BK,BR,T, ,L, , ,STREET,0,108 STREET,34 AVENUE,NORTHERN BOULEVARD, ,QUEENS, , ,115,I, , ,1022783,215254,CM,1,14,40.7563316,-73.8607272,40.7577671,-73.86098969999999,"34th Ave & 108th St, Corona, NY 11368, USA","Northern Blvd & 108th St, Queens, NY 11368, USA"
2015,110,88,7142015,2300, ,O,P,1,GRAND LARCENY,20,V,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,110,110,N,N, , ,SF,M,Q, ,14,5,9,120,BR,BR,T, ,L, , ,ALLEY,0,108 STREET,50 AVENUE,49 AVENUE, ,QUEENS, , ,110,G, , ,1024187,210765,CM,1,45,40.744604,-73.855611,40.745267,-73.85595099999999,"108th St & 50th Ave, Corona, NY 11368, USA","108th St & 49th Ave, Corona, NY 11368, USA"
2015,110,90,7222015,2020, ,O,P,1,FELONY,4,V,Y,N,Y,ATT GRAND LARCENY,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,110,110,N,N, , ,SF,M,Q, ,13,5,3,105,BK,BR,T, ,L, , ,PARK,0,111 STREET,CORONA AVENUE,44 AVENUE, ,QUEENS, , ,110,J, , ,1025435,210071,CM,1,45,40.7408605,-73.8503053,40.748944,-73.85447839999999,"Corona Ave & 111th St, Corona, NY 11368, USA","111th St & 44th Ave, Corona, NY 11368, USA"
2015,105,331,7162015,3,1,O,P,4,FEL,10,P,Y,Y,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,105,105,Y,N,V,S, ,M,B, ,64,5,8,180,BR,BR,M, ,L, , ,STREET,0,112 AVENUE,212 STREET,COLFAX STREET, ,QUEENS, , ,105,I, , ,1054607,196305,CM,1,14,40.7057103,-73.74436539999999,40.70512799999999,-73.746591,"212th St & 112th Ave, Queens Village, NY 11429, USA","112th Ave & Colfax St, Queens Village, NY 11429, USA"
2015,105,332,7162015,30,1,O,P,4,FEL,10,P,Y,Y,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,105,105,Y,N,V,S, ,M,B, ,61,6,0,210,BR,BR,M, ,L, , ,STREET,0,112 AVENUE,212 STREET,COLFAX STREET, ,QUEENS, , ,105,I, , ,1054607,196305,CM,1,14,40.7057103,-73.74436539999999,40.70512799999999,-73.746591,"212th St & 112th Ave, Queens Village, NY 11429, USA","112th Ave & Colfax St, Queens Village, NY 11429, USA"
