datestop,arstmade,frisked,searched,addrnum,stname,stinter,crossst
10212015,Y,Y,Y, , ,38 AVENUE,114 STREET
8142015,Y,Y,N,***,SIMPSON STREET,EAST 167 STREET,WESTCHESTER AVENUE
1022015,N,Y,N, , ,SHAKESPEARE AVENUE,WEST 172 STREET
1022015,N,Y,Y, , ,EAST 176 STREET,CLAY AVENUE
1062015,Y,Y,Y,800,SOUND VIEW AVENUE,ROSEDALE AVENUE,LAFAYETTE AVENUE
1172015,Y,Y,N,301,WEST 260 STREET,FIELDSTON ROAD,SPENCER AVENUE
1202015,Y,N,Y,2120,RANDALL AVENUE,CASTLE HILL AVENUE,OLMSTEAD AVENUE
1202015,N,Y,N, , ,TINTON AVENUE,EAST 163 STREET
1212015,Y,Y,Y,635,CASTLE HILL AVENUE,SEWARD AVENUE,RANDALL AVENUE
1212015,Y,N,Y,1460,BRONX RIVER AVENUE,EAST 177 STREET,EAST 174 STREET
1212015,Y,N,Y,1460,BRONX RIVER AVENUE,EAST 177 STREET,EAST 174 STREET
1222015,Y,Y,Y,2160,SEWARD AVENUE,CASTLE HILL AVENUE,OLMSTEAD AVENUE
1222015,Y,Y,Y,1372,OGDEN AVENUE,UNIVERSITY AVENUE,WEST 170 STREET
1232015,N,Y,N,69,FEATHERBED LANE,NELSON AVENUE,MACOMBS ROAD
1242015,Y,Y,N,785,COURTLANDT AVENUE,EAST 158 STREET,EAST 157 STREET
1242015,N,Y,N, , ,EAST 170 STREET,CLAY AVENUE
1242015,N,Y,N,1455,HARROD AVENUE,BRONX RIVER AVENUE,EAST 174 STREET
1272015,N,Y,N, , ,EAST 170 STREET,MORRIS AVENUE
1292015,Y,N,Y,1720,WATSON AVENUE,ROSEDALE AVENUE,CROES AVENUE
1292015,N,N,N,501,BRUCKNER BOULEVARD,AUSTIN PLACE,EAST 149 STREET
1292015,N,Y,N, , ,EAST 166 STREET,FINDLAY AVENUE
1302015,N,Y,N, , ,SOUTHERN BOULEVARD,EAST 163 STREET
1302015,N,Y,N, , ,SOUTHERN BOULEVARD,EAST 163 STREET
1302015,N,N,N, , ,FOREST AVENUE,EAST 166 STREET
1302015,N,Y,Y, , ,HUNTS POINT AVENUE,BRUCKNER BOULEVARD
1312015,N,N,N, , , , 
1312015,Y,Y,Y,1100,TELLER AVENUE,EAST 167 STREET,EAST 166 STREET
2042015,N,N,N, , ,SHAKESPEARE AVENUE,GRANT HIGHWAY
2052015,N,Y,Y, , ,OGDEN AVENUE,WEST 170 STREET
2062015,Y,Y,N, , ,LEGGETT AVENUE,FOX STREET
2062015,Y,Y,N, , ,LEGGETT AVENUE,FOX STREET
2072015,Y,Y,Y, , ,3 AVENUE,EAST 161 STREET
2072015,N,Y,N,125,WEST 165 STREET,OGDEN AVENUE,NELSON AVENUE
2082015,N,Y,N,1142,COLLEGE AVENUE,EAST 167 STREET,EAST 166 STREET
2102015,Y,Y,Y,3565,BOSTON ROAD,TIEMANN AVENUE,KINGSLAND AVENUE
2122015,N,Y,N,1831,HOBART AVENUE,SAINT THERESA AVENUE,WESTCHESTER AVENUE
2132015,N,Y,N, , ,WESTCHESTER AVENUE,SIMPSON STREET
2142015,Y,Y,Y,530,EAST 137 STREET,SAINT ANNS AVENUE,BROOK AVENUE
2142015,N,Y,N,321,EAST 153 STREET,COURTLANDT AVENUE,MORRIS AVENUE
2152015,N,Y,N, , ,BROOK AVENUE,EAST 141 STREET
2152015,Y,N,Y,1595,EAST 174 STREET,HARROD AVENUE,MANOR AVENUE
2162015,Y,Y,N,3050,PARK AVENUE,EAST 157 STREET,EAST 156 STREET
2172015,Y,N,Y,321,EAST 153 STREET,COURTLANDT AVENUE,MORRIS AVENUE
2202015,Y,Y,N,320,EAST 156 STREET,COURTLANDT AVENUE,PARK AVENUE
2202015,N,Y,N,869,STEBBINS AVENUE,WESTCHESTER AVENUE,DAWSON STREET
2202015,N,Y,N,868,STEBBINS AVENUE,EAST 163 STREET,DAWSON STREET
2212015,Y,Y,Y,308,EAST 145 STREET,3 AVENUE,COLLEGE AVENUE
2212015,Y,Y,Y,320,EAST 156 STREET,COURTLANDT AVENUE,PARK AVENUE
2242015,N,N,Y,709,EAST 175 STREET,CLINTON AVENUE,CROTONA AVENUE
2252015,N,Y,N, , ,EAST 241 STREET,WHITE PLAINS ROAD
2272015,Y,Y,N,825,GERARD AVENUE,EAST 158 STREET,EAST 157 STREET
2282015,Y,Y,N,1020,SOUND VIEW AVENUE,WATSON AVENUE,BRUCKNER BOULEVARD
3012015,N,Y,N, , ,EAST 241 STREET,HILL AVENUE
3022015,N,Y,N, , ,WALTON AVENUE,ELLIOT PLACE
3032015,Y,Y,Y, , ,JEROME AVENUE,WEST 165 STREET
3062015,Y,Y,N,281,EAST 153 STREET,COURTLANDT AVENUE,MORRIS AVENUE
3102015,Y,N,N,751,EAST 161 STREET,TINTON AVENUE,FOREST AVENUE
3112015,Y,N,Y, , ,ASTOR AVENUE,WALLACE AVENUE
3112015,Y,N,Y, , ,ASTOR AVENUE,WALLACE AVENUE
3112015,Y,N,N,355,EAST 143 STREET,WILLIS AVENUE,MOTT HAVEN PROJECT
3122015,Y,N,Y,980,TRINITY AVENUE,EAST 165 STREET,EAST 163 STREET
3132015,N,N,N, , ,SOUTHERN BOULEVARD,EAST 163 STREET
3142015,N,Y,N,815,EAST 152 STREET,UNION AVENUE,TINTON AVENUE
3142015,Y,Y,Y,1348,WEBSTER AVENUE,EAST 170 STREET,EAST 169 STREET
3142015,Y,N,N,1458,WEBSTER AVENUE,EAST 171 STREET,EAST 170 STREET
3152015,N,N,N,175,WILLIS AVENUE,EAST 136 STREET,EAST 135 STREET
3162015,N,Y,N,530,EAST 137 STREET,SAINT ANNS AVENUE,BROOK AVENUE
3162015,N,Y,N, , ,BARNES AVENUE,EAST 214 STREET
3162015,N,Y,N, , ,BARNES AVENUE,EAST 214 STREET
